metric_key,column,label,short_label,source,group,format,unit,description,active,calculation
BlowoutWins,BlowoutWins,Blowout Wins,,teams_core_v30,Close Games & Blowouts,,,Blowout wins,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
BlowoutLosses,BlowoutLosses,Blowout Losses,,teams_core_v30,Close Games & Blowouts,,,Blowout losses,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
BlowoutRate,BlowoutRate,Blowout Rate,,teams_core_v30,Close Games & Blowouts,.3f,,% of games that are blowouts,1,Count of qualifying games divided by total Games (proportion).
BlowoutMarginPG,BlowoutMarginPG,Blowout Margin/G,,teams_core_v30,Close Games & Blowouts,.1f,pts,Avg margin in blowouts,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
GamesMargin0to3,GamesMargin0to3,Games (0-3),,teams_core_v30,Margin Buckets,,,Games decided 0-3 points,1,Average of (team score − opponent score) per played game.
WinsMargin0to3,WinsMargin0to3,Wins (0-3),,teams_core_v30,Margin Buckets,,,Wins by 0-3 points,1,Average of (team score − opponent score) per played game.
WinPctMargin0to3,WinPctMargin0to3,Win % (0-3),,teams_core_v30,Margin Buckets,.3f,,Win % in 0-3 bucket,1,Average of (team score − opponent score) per played game.
GamesMargin4to10,GamesMargin4to10,Games (4-10),,teams_core_v30,Margin Buckets,,,Games decided 4-10 points,1,Average of (team score − opponent score) per played game.
WinsMargin4to10,WinsMargin4to10,Wins (4-10),,teams_core_v30,Margin Buckets,,,Wins by 4-10 points,1,Average of (team score − opponent score) per played game.
WinPctMargin4to10,WinPctMargin4to10,Win % (4-10),,teams_core_v30,Margin Buckets,.3f,,Win % in 4-10 bucket,1,Average of (team score − opponent score) per played game.
GamesMargin11to20,GamesMargin11to20,Games (11-20),,teams_core_v30,Margin Buckets,,,Games decided 11-20 points,1,Average of (team score − opponent score) per played game.
WinsMargin11to20,WinsMargin11to20,Wins (11-20),,teams_core_v30,Margin Buckets,,,Wins by 11-20 points,1,Average of (team score − opponent score) per played game.
WinPctMargin11to20,WinPctMargin11to20,Win % (11-20),,teams_core_v30,Margin Buckets,.3f,,Win % in 11-20 bucket,1,Average of (team score − opponent score) per played game.
GamesMargin21plus,GamesMargin21plus,Games (21+),,teams_core_v30,Margin Buckets,,,Games decided 21+ points,1,Average of (team score − opponent score) per played game.
WinsMargin21plus,WinsMargin21plus,Wins (21+),,teams_core_v30,Margin Buckets,,,Wins by 21+ points,1,Average of (team score − opponent score) per played game.
WinPctMargin21plus,WinPctMargin21plus,Win % (21+),,teams_core_v30,Margin Buckets,.3f,,Win % in 21+ bucket,1,Average of (team score − opponent score) per played game.
Streak,Streak,Streak,,teams_core_v30,Streaks & Momentum,,,Current win/loss streak (numeric),1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
StreakLabel,StreakLabel,Streak Label,,teams_core_v30,Streaks & Momentum,,,Streak display string,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
WinsInRow,WinsInRow,Wins in Row,,teams_core_v30,Streaks & Momentum,,,Most consecutive wins,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
LossesInRow,LossesInRow,Losses in Row,,teams_core_v30,Streaks & Momentum,,,Most consecutive losses,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
EarlyGames,EarlyGames,Early Games,,teams_core_v30,Streaks & Momentum,,,Games in early season,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
EarlyWins,EarlyWins,Early Wins,,teams_core_v30,Streaks & Momentum,,,Wins in early season,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
EarlyMarginPG,EarlyMarginPG,Early Margin/G,,teams_core_v30,Streaks & Momentum,.1f,pts,Margin in early games,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
LateGames,LateGames,Late Games,,teams_core_v30,Streaks & Momentum,,,Games in late season,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
LateWins,LateWins,Late Wins,,teams_core_v30,Streaks & Momentum,,,Wins in late season,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
LateMarginPG,LateMarginPG,Late Margin/G,,teams_core_v30,Streaks & Momentum,.1f,pts,Margin in late games,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
IsLateSkew,IsLateSkew,Late Season Skew,,teams_core_v30,Streaks & Momentum,,,More games in late season,1,Derived from the chronological win/loss sequence; computed as current streak or windowed splits (early/late).
InDivisionWins,InDivisionWins,In-Division Wins,,teams_core_v30,Division & Cross-Division Play,,,Wins in division,1,Computed in the v30 pipeline (source: teams_core_v30).
CrossDivisionWins,CrossDivisionWins,Cross-Division Wins,,teams_core_v30,Division & Cross-Division Play,,,Wins cross-division,1,Computed in the v30 pipeline (source: teams_core_v30).
AvgRestDays,AvgRestDays,Avg Rest Days,,teams_core_v30,Game Sequencing & Rest,.1f,days,Average days between games,1,Average days between consecutive games on the schedule.
ShortRestGames,ShortRestGames,Short Rest Games,,teams_core_v30,Game Sequencing & Rest,,,Games with 0-1 days rest,1,Derived from game dates and the team’s sequence of games.
ShortRestShare,ShortRestShare,Short Rest Share,,teams_core_v30,Game Sequencing & Rest,.3f,,% games on short rest,1,Games meeting the rest definition divided by total Games (proportion).
LongRestGames,LongRestGames,Long Rest Games,,teams_core_v30,Game Sequencing & Rest,,,Games with 4+ days rest,1,Derived from game dates and the team’s sequence of games.
LongRestShare,LongRestShare,Long Rest Share,,teams_core_v30,Game Sequencing & Rest,.3f,,% games on long rest,1,Games meeting the rest definition divided by total Games (proportion).
NetEffVsTop,NetEffVsTop,NetEff vs Top,,teams_core_v30,Opponent Strength Tiers,.1f,,Net efficiency vs top-tier opponents,1,Average NetEff computed over games vs opponents in the specified tier.
NetEffVsMiddle,NetEffVsMiddle,NetEff vs Middle,,teams_core_v30,Opponent Strength Tiers,.1f,,Net efficiency vs middle-tier opponents,1,Average NetEff computed over games vs opponents in the specified tier.
NetEffVsBottom,NetEffVsBottom,NetEff vs Bottom,,teams_core_v30,Opponent Strength Tiers,.1f,,Net efficiency vs bottom-tier opponents,1,Average NetEff computed over games vs opponents in the specified tier.
GamesVsTop,GamesVsTop,Games vs Top,,teams_core_v30,Opponent Strength Tiers,,,Games vs top-tier opponents,1,Count of games played against opponents in the specified tier.
WinsVsTop,WinsVsTop,Wins vs Top,,teams_core_v30,Opponent Strength Tiers,,,Wins vs top tier,1,Count of wins/losses against opponents in the specified tier.
LossesVsTop,LossesVsTop,Losses vs Top,,teams_core_v30,Opponent Strength Tiers,,,Losses vs top tier,1,Count of wins/losses against opponents in the specified tier.
WinPctVsTop,WinPctVsTop,Win % vs Top,,teams_core_v30,Opponent Strength Tiers,.3f,,Win % vs top tier,1,Wins divided by Games against opponents in the specified tier.
MarginVsTop,MarginVsTop,Margin vs Top,,teams_core_v30,Opponent Strength Tiers,.1f,pts,Avg margin vs top tier,1,Average margin in games vs opponents in the specified tier.
GamesVsMiddle,GamesVsMiddle,Games vs Middle,,teams_core_v30,Opponent Strength Tiers,,,Games vs middle-tier opponents,1,Count of games played against opponents in the specified tier.
WinsVsMiddle,WinsVsMiddle,Wins vs Middle,,teams_core_v30,Opponent Strength Tiers,,,Wins vs middle tier,1,Count of wins/losses against opponents in the specified tier.
LossesVsMiddle,LossesVsMiddle,Losses vs Middle,,teams_core_v30,Opponent Strength Tiers,,,Losses vs middle tier,1,Count of wins/losses against opponents in the specified tier.
WinPctVsMiddle,WinPctVsMiddle,Win % vs Middle,,teams_core_v30,Opponent Strength Tiers,.3f,,Win % vs middle tier,1,Wins divided by Games against opponents in the specified tier.
MarginVsMiddle,MarginVsMiddle,Margin vs Middle,,teams_core_v30,Opponent Strength Tiers,.1f,pts,Avg margin vs middle tier,1,Average margin in games vs opponents in the specified tier.
GamesVsBottom,GamesVsBottom,Games vs Bottom,,teams_core_v30,Opponent Strength Tiers,,,Games vs bottom-tier opponents,1,Count of games played against opponents in the specified tier.
WinsVsBottom,WinsVsBottom,Wins vs Bottom,,teams_core_v30,Opponent Strength Tiers,,,Wins vs bottom tier,1,Count of wins/losses against opponents in the specified tier.
LossesVsBottom,LossesVsBottom,Losses vs Bottom,,teams_core_v30,Opponent Strength Tiers,,,Losses vs bottom tier,1,Count of wins/losses against opponents in the specified tier.
WinPctVsBottom,WinPctVsBottom,Win % vs Bottom,,teams_core_v30,Opponent Strength Tiers,.3f,,Win % vs bottom tier,1,Wins divided by Games against opponents in the specified tier.
MarginVsBottom,MarginVsBottom,Margin vs Bottom,,teams_core_v30,Opponent Strength Tiers,.1f,pts,Avg margin vs bottom tier,1,Average margin in games vs opponents in the specified tier.
GamesVsTop25,GamesVsTop25,Games vs Top 25,,teams_core_v30,Opponent Strength Tiers,,,Games vs top-25 ranked teams,1,Count of games played against opponents in the specified tier.
WinsVsTop25,WinsVsTop25,Wins vs Top 25,,teams_core_v30,Opponent Strength Tiers,,,Wins vs top-25 teams,1,Count of wins/losses against opponents in the specified tier.
LossesVsTop25,LossesVsTop25,Losses vs Top 25,,teams_core_v30,Opponent Strength Tiers,,,Losses to top-25 teams,1,Count of wins/losses against opponents in the specified tier.
WinPctVsTop25,WinPctVsTop25,Win % vs Top 25,,teams_core_v30,Opponent Strength Tiers,.3f,,Win % vs top-25,1,Wins divided by Games against opponents in the specified tier.
MarginVsTop25,MarginVsTop25,Margin vs Top 25,,teams_core_v30,Opponent Strength Tiers,.1f,pts,Avg margin vs top-25,1,Average margin in games vs opponents in the specified tier.
BestWin,BestWin,Best Win,,teams_core_v30,Resume & Quality Wins/Losses,,,Highest-rated opponent beaten,1,Identifies the highest-rated opponent defeated (based on opponent rating at game time).
BestWinMargin,BestWinMargin,Best Win Margin,,teams_core_v30,Resume & Quality Wins/Losses,.0f,pts,Margin in best win,1,Identifies the highest-rated opponent defeated (based on opponent rating at game time).
WorstLoss,WorstLoss,Worst Loss,,teams_core_v30,Resume & Quality Wins/Losses,,,Lowest-rated opponent lost to,1,Identifies the lowest-rated opponent lost to (based on opponent rating at game time).
WorstLossMargin,WorstLossMargin,Worst Loss Margin,,teams_core_v30,Resume & Quality Wins/Losses,.0f,pts,Margin in worst loss,1,Identifies the lowest-rated opponent lost to (based on opponent rating at game time).
QualityWins,QualityWins,Quality Wins,,teams_core_v30,Resume & Quality Wins/Losses,,,Wins vs high-quality opponents,1,Derived from opponent ratings and results; selects extremes and counts qualified wins/losses.
BadLosses,BadLosses,Bad Losses,,teams_core_v30,Resume & Quality Wins/Losses,,,Losses to low-quality opponents,1,Derived from opponent ratings and results; selects extremes and counts qualified wins/losses.
Top25Wins,Top25Wins,Top 25 Wins,,teams_core_v30,Resume & Quality Wins/Losses,,,Wins vs top-25 ranked teams,1,Derived from opponent ratings and results; selects extremes and counts qualified wins/losses.
Top25Losses,Top25Losses,Top 25 Losses,,teams_core_v30,Resume & Quality Wins/Losses,,,Losses to top-25 teams,1,Derived from opponent ratings and results; selects extremes and counts qualified wins/losses.
TI,TI,TI,,teams_core_v30,Tournament & Preliminary Indices,.2f,,Tournament Index (latest snapshot),1,Derived from a tournament seeding snapshot and/or playoff qualification logic in the v30 pipeline.
ProjectedSeed,ProjectedSeed,Projected Seed,,teams_core_v30,Tournament & Preliminary Indices,,,Projected tournament seed,1,Derived from a tournament seeding snapshot and/or playoff qualification logic in the v30 pipeline.
Qualified,Qualified,Qualified,,teams_core_v30,Tournament & Preliminary Indices,,,Tournament qualification status,1,Derived from a tournament seeding snapshot and/or playoff qualification logic in the v30 pipeline.
LastGameDate,LastGameDate,Last Game Date,,teams_core_v30,Metadata,,,Date of most recent game,1,System metadata captured during scrape/build (timestamps and version identifiers).
ScrapedAt,ScrapedAt,Scraped At,,teams_core_v30,Metadata,,,Latest scrape timestamp,1,System metadata captured during scrape/build (timestamps and version identifiers).
CoreVersion,CoreVersion,Core Version,,teams_core_v30,Metadata,,,Version identifier,1,System metadata captured during scrape/build (timestamps and version identifiers).
GameID,GameID,Game ID,,games_core_v30,Game Details,,,Unique game identifier,1,Direct game-level field from the games table (schedule/results).
Date,Date,Date,,games_core_v30,Game Details,,,Game date,1,Direct game-level field from the games table (schedule/results).
Home,Home,Home,,games_core_v30,Game Details,,,Home team name,1,Direct game-level field from the games table (schedule/results).
Away,Away,Away,,games_core_v30,Game Details,,,Away team name,1,Direct game-level field from the games table (schedule/results).
HomeKey,HomeKey,Home Key,,games_core_v30,Game Details,,,Home TeamKey,1,Direct game-level field from the games table (schedule/results).
AwayKey,AwayKey,Away Key,,games_core_v30,Game Details,,,Away TeamKey,1,Direct game-level field from the games table (schedule/results).
HomeClass,HomeClass,Home Class,,games_core_v30,Game Details,,,Home team class,1,Direct game-level field from the games table (schedule/results).
AwayClass,AwayClass,Away Class,,games_core_v30,Game Details,,,Away team class,1,Direct game-level field from the games table (schedule/results).
HomeRegion,HomeRegion,Home Region,,games_core_v30,Game Details,,,Home team region,1,Direct game-level field from the games table (schedule/results).
AwayRegion,AwayRegion,Away Region,,games_core_v30,Game Details,,,Away team region,1,Direct game-level field from the games table (schedule/results).
HomeDivision,HomeDivision,Home Division,,games_core_v30,Game Details,,,Home SchoolDivision,1,Direct game-level field from the games table (schedule/results).
AwayDivision,AwayDivision,Away Division,,games_core_v30,Game Details,,,Away SchoolDivision,1,Direct game-level field from the games table (schedule/results).
HomeScore,HomeScore,Home Score,,games_core_v30,Game Details,.0f,pts,Home team score,1,Direct game-level field from the games table (schedule/results).
AwayScore,AwayScore,Away Score,,games_core_v30,Game Details,.0f,pts,Away team score,1,Direct game-level field from the games table (schedule/results).
Played,Played,Played,,games_core_v30,Game Details,,,Game completed,1,Direct game-level field from the games table (schedule/results).
Winner,Winner,Winner,,games_core_v30,Game Details,,,Winning team name,1,Direct game-level field from the games table (schedule/results).
Margin,Margin,Margin,,games_core_v30,Game Details,.0f,pts,Winning margin (Home - Away),1,Direct game-level field from the games table (schedule/results).
IsNeutral,IsNeutral,Is Neutral,,games_core_v30,Game Details,,,Game at neutral site,1,Direct game-level field from the games table (schedule/results).
Season,Season,Season,,games_core_v30,Game Details,,,Season identifier,1,Direct game-level field from the games table (schedule/results).
GameNum,GameNum,Game #,,games_core_v30,Game Details,,,Game number in sequence,1,Direct game-level field from the games table (schedule/results).
HomeNetEff,HomeNetEff,Home NetEff,,games_core_v30,Game Predictions & Evaluation,.1f,,Home team NetEff at game time,1,Model outputs computed at game time and evaluated after the game completes.
AwayNetEff,AwayNetEff,Away NetEff,,games_core_v30,Game Predictions & Evaluation,.1f,,Away team NetEff at game time,1,Model outputs computed at game time and evaluated after the game completes.
PredHomeWinProb,PredHomeWinProb,Pred Home Win Prob,,games_core_v30,Game Predictions & Evaluation,.3f,,Predicted home win probability,1,Computed from the model at game time using team strength inputs; stored per game.
PredMargin,PredMargin,Pred Margin,,games_core_v30,Game Predictions & Evaluation,.1f,pts,Predicted margin (Home - Away),1,Computed from the model at game time using team strength inputs; stored per game.
Favorite,Favorite,Favorite,,games_core_v30,Game Predictions & Evaluation,,,Favored team name,1,Model outputs computed at game time and evaluated after the game completes.
FavoriteIsHome,FavoriteIsHome,Favorite Is Home,,games_core_v30,Game Predictions & Evaluation,,,True if home team favored,1,Model outputs computed at game time and evaluated after the game completes.
