WeekID,WeekStart,WeekEnd,Segment,Gender,Class,Region,TeamKey,Team,Games,Wins,AvgMargin,AvgOppRating,AvgSurprise,MeanGameScore,Confidence,WeeklyScore,RankInSegment
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_B_South,Girls,B,South,Oceanside_Girls_B_South,Oceanside,1,0,43.0,,22.83333333333333,1.0208050105933675,0.7071067811865476,0.7218181452597757,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_C_North,Girls,C,North,Central_Girls_C_North,Central,1,0,28.0,,20.055555555555554,1.3212711966252266,0.7071067811865476,0.934279822920162,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_C_North,Girls,C,North,Houlton HS_Girls_C_North,Houlton HS,1,0,27.0,,11.055555555555557,1.2054941128236056,0.7071067811865476,0.8524130618580326,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_C_South,Girls,C,South,Wells_Girls_C_South,Wells,2,0,50.5,,6.75,0.6976344579419971,1.0,0.6976344579419971,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_C_South,Girls,C,South,Monmouth Academy_Girls_C_South,Monmouth Academy,2,0,40.0,,0.25000000000000355,0.6379425935511143,1.0,0.6379425935511143,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_D_North,Girls,D,North,Bangor Christian_Girls_D_North,Bangor Christian,1,0,85.0,,35.94444444444444,1.1819599326043195,0.7071067811865476,0.8357718834353091,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_D_North,Girls,D,North,Machias Memorial_Girls_D_North,Machias Memorial,1,0,26.0,,3.944444444444443,0.8933997662166046,0.7071067811865476,0.6317290330022374,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_D_South,Girls,D,South,Forest Hills Consolidated_Girls_D_South,Forest Hills Consolidated,1,0,24.0,,11.118055555555557,0.8890949421754211,0.7071067811865476,0.6286850627309016,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_D_South,Girls,D,South,Buckfield HS_Girls_D_South,Buckfield HS,1,0,30.0,,-22.111111111111107,0.6634522360930362,0.7071067811865476,0.4691315751347642,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_S_North,Girls,S,North,Searsport HS_Girls_S_North,Searsport HS,2,0,6.5,,15.722222222222225,0.34529753672459024,1.0,0.34529753672459024,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_S_North,Girls,S,North,Ashland District_Girls_S_North,Ashland District,1,0,17.0,,-9.333333333333332,0.4194730342154602,0.7071067811865476,0.29661222701864864,2
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_S_South,Girls,S,South,Valley HS_Girls_S_South,Valley HS,1,0,42.0,,-17.66666666666667,0.7093919201288335,0.7071067811865476,0.5016158372420438,1
2026-02-02_to_2026-02-08,2026-02-02,2026-02-08,Girls_S_South,Girls,S,South,Rangeley Lakes Regional_Girls_S_South,Rangeley Lakes Regional,1,0,-1.0,,25.483660130718953,0.1968980261399125,0.7071067811865476,0.13922792948577822,2
