Date,Gender,GameID,Team1,Team2,SchoolClass,SchoolRegion,SchoolDivision,OppDiv,GameNum,Rank,RecordText,GamesPlayed,GamesScheduled,PI,TI,Result,Winner,Loser,WinPoints,OppPreliminaryIndex,WinFlag,LossFlag,TieFlag,HomeTeam,AwayTeam,HomeScore,AwayScore,ScrapedAt
2/3/2026,Girls,9140,Oceanside,Winslow,B,South,South-B,South-C,18,1,16-1-0 (0.941),17,18,33.777777,133.2098733,normal,,,,,,,,Oceanside,Winslow,,,2026-02-02T11:38:32Z
2/5/2026,Girls,9142,Lincoln Academy,Winslow,B,South,South-B,South-C,18,13,5-11-0 (0.313),16,18,10.444444,29.44444389,normal,,,,,,,,Lincoln Academy,Winslow,,,2026-02-02T11:38:32Z
12/5/2025,Boys,9145,Cape Elizabeth,Fryeburg Academy,B,South,South-B,South-B,1,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Fryeburg Academy,38,1,X,,,Cape Elizabeth,Fryeburg Academy,48,40,2026-02-02T11:38:32Z
12/15/2025,Boys,9147,Cape Elizabeth,Freeport,B,South,South-B,South-B,4,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Freeport,38,8.444444,X,,,Cape Elizabeth,Freeport,54,50,2026-02-02T11:38:32Z
12/20/2025,Boys,9149,Lake Region,Cape Elizabeth,B,South,South-B,South-B,5,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Cape Elizabeth,38,14.333333,X,,,Cape Elizabeth,Lake Region,48,71,2026-02-02T11:38:32Z
1/2/2026,Boys,9152,Yarmouth,Cape Elizabeth,B,South,South-B,South-B,8,3,13-3-0 (0.813),16,18,27.333333,101.9934606,win,Yarmouth,Cape Elizabeth,38,14.333333,X,,,Cape Elizabeth,Yarmouth,56,65,2026-02-02T11:38:32Z
1/9/2026,Boys,9154,Cape Elizabeth,Sacopee Valley,B,South,South-B,South-C,10,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Sacopee Valley,36,21.444444,X,,,Cape Elizabeth,Sacopee Valley,69,48,2026-02-02T11:38:32Z
1/19/2026,Boys,9156,Cape Elizabeth,Traip Academy,B,South,South-B,South-C,13,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Traip Academy,36,9.666666,X,,,Cape Elizabeth,Traip Academy,69,46,2026-02-02T11:38:32Z
1/27/2026,Boys,9158,Cape Elizabeth,Waynflete,B,South,South-B,South-C,15,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Waynflete,36,16.588235,X,,,Cape Elizabeth,Waynflete,72,67,2026-02-02T11:38:32Z
1/29/2026,Boys,9160,Poland Regional,Cape Elizabeth,B,South,South-B,South-B,16,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Cape Elizabeth,38,14.333333,X,,,Cape Elizabeth,Poland Regional,43,58,2026-02-02T11:38:32Z
2/4/2026,Boys,9162,York,Cape Elizabeth,B,South,South-B,South-B,18,1,15-1-0 (0.938),16,18,31.888888,119.7530828,normal,,,,,,,,York,Cape Elizabeth,,,2026-02-02T11:38:32Z
12/9/2025,Girls,9184,Gray-New Gloucester,Cape Elizabeth,B,South,South-B,South-B,2,2,15-1-0 (0.938),16,18,31.888888,132.9012317,win,Gray-New Gloucester,Cape Elizabeth,38,14.444444,X,,,Cape Elizabeth,Gray-New Gloucester,34,68,2026-02-02T11:38:32Z
12/13/2025,Girls,9186,Cape Elizabeth,Lincoln Academy,B,South,South-B,South-B,3,14,7-9-0 (0.438),16,18,14.444444,27.83950444,win,Cape Elizabeth,Lincoln Academy,38,10.444444,X,,,Cape Elizabeth,Lincoln Academy,50,42,2026-02-02T11:38:32Z
12/18/2025,Girls,9188,Greely,Cape Elizabeth,B,South,South-B,South-B,5,4,12-4-0 (0.750),16,18,25.333333,91.85185,win,Greely,Cape Elizabeth,38,14.444444,X,,,Cape Elizabeth,Greely,27,29,2026-02-02T11:38:32Z
1/6/2026,Girls,9192,York,Cape Elizabeth,B,South,South-B,South-B,9,3,10-6-0 (0.625),16,18,21,94.69135556,win,York,Cape Elizabeth,38,14.444444,X,,,Cape Elizabeth,York,28,52,2026-02-02T11:38:32Z
1/13/2026,Girls,9194,Cape Elizabeth,Fryeburg Academy,B,South,South-B,South-B,11,14,7-9-0 (0.438),16,18,14.444444,27.83950444,win,Cape Elizabeth,Fryeburg Academy,38,1,X,,,Cape Elizabeth,Fryeburg Academy,37,19,2026-02-02T11:38:32Z
1/17/2026,Girls,9196,Wells,Cape Elizabeth,C,South,South-C,South-B,12,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Cape Elizabeth,38,14.444444,X,,,Cape Elizabeth,Wells,33,34,2026-02-02T11:38:32Z
1/23/2026,Girls,9198,Lake Region,Cape Elizabeth,B,South,South-B,South-B,14,11,6-10-0 (0.375),16,18,12.444444,40.55555444,win,Lake Region,Cape Elizabeth,38,14.444444,X,,,Cape Elizabeth,Lake Region,34,44,2026-02-02T11:38:32Z
1/27/2026,Girls,9200,Cape Elizabeth,Waynflete,B,South,South-B,South-C,15,14,7-9-0 (0.438),16,18,14.444444,27.83950444,win,Cape Elizabeth,Waynflete,36,5.666666,X,,,Cape Elizabeth,Waynflete,50,17,2026-02-02T11:38:32Z
2/2/2026,Girls,9202,Yarmouth,Cape Elizabeth,B,South,South-B,South-B,17,8,8-8-0 (0.500),16,18,16.777777,47.77777611,normal,,,,,,,,Yarmouth,Cape Elizabeth,,,2026-02-02T11:38:32Z
12/8/2025,Boys,9310,Greely,Fryeburg Academy,B,South,South-B,South-B,2,12,5-11-0 (0.313),16,18,10.555555,19.62962889,win,Greely,Fryeburg Academy,38,1,X,,,Greely,Fryeburg Academy,50,43,2026-02-02T11:38:32Z
12/12/2025,Boys,9313,Mount Ararat,Fryeburg Academy,A,North,North-A,South-B,3,12,2-14-0 (0.125),16,18,4.222222,6.419752778,win,Mount Ararat,Fryeburg Academy,38,1,X,,,Mount Ararat,Fryeburg Academy,65,38,2026-02-02T11:38:32Z
12/16/2025,Boys,9315,Poland Regional,Fryeburg Academy,B,South,South-B,South-B,5,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Poland Regional,35,68,2026-02-02T11:38:32Z
12/18/2025,Boys,9317,York,Fryeburg Academy,B,South,South-B,South-B,5,1,15-1-0 (0.938),16,18,31.888888,119.7530828,win,York,Fryeburg Academy,38,1,X,,,Fryeburg Academy,York,26,66,2026-02-02T11:38:32Z
12/20/2025,Boys,9319,Freeport,Fryeburg Academy,B,South,South-B,South-B,5,13,4-12-0 (0.250),16,18,8.444444,12.83950556,win,Freeport,Fryeburg Academy,38,1,X,,,Freeport,Fryeburg Academy,55,31,2026-02-02T11:38:32Z
1/2/2026,Boys,9321,Gray-New Gloucester,Fryeburg Academy,B,South,South-B,South-B,8,11,5-11-0 (0.313),16,18,10.555555,28.88888833,win,Gray-New Gloucester,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Gray-New Gloucester,43,72,2026-02-02T11:38:32Z
1/6/2026,Boys,9323,Lake Region,Fryeburg Academy,B,South,South-B,South-B,8,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Lake Region,43,61,2026-02-02T11:38:32Z
1/9/2026,Boys,9325,Yarmouth,Fryeburg Academy,B,South,South-B,South-B,10,3,13-3-0 (0.813),16,18,27.333333,101.9934606,win,Yarmouth,Fryeburg Academy,38,1,X,,,Yarmouth,Fryeburg Academy,69,42,2026-02-02T11:38:32Z
1/13/2026,Boys,9327,Cape Elizabeth,Fryeburg Academy,B,South,South-B,South-B,11,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Cape Elizabeth,49,70,2026-02-02T11:38:32Z
1/16/2026,Boys,9329,Greely,Fryeburg Academy,B,South,South-B,South-B,12,12,5-11-0 (0.313),16,18,10.555555,19.62962889,win,Greely,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Greely,34,41,2026-02-02T11:38:32Z
1/23/2026,Boys,9333,York,Fryeburg Academy,B,South,South-B,South-B,14,1,15-1-0 (0.938),16,18,31.888888,119.7530828,win,York,Fryeburg Academy,38,1,X,,,York,Fryeburg Academy,82,33,2026-02-02T11:38:32Z
1/27/2026,Boys,9335,Freeport,Fryeburg Academy,B,South,South-B,South-B,15,13,4-12-0 (0.250),16,18,8.444444,12.83950556,win,Freeport,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Freeport,32,42,2026-02-02T11:38:32Z
1/29/2026,Boys,9337,Lake Region,Fryeburg Academy,B,South,South-B,South-B,16,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Fryeburg Academy,38,1,X,,,Lake Region,Fryeburg Academy,74,29,2026-02-02T11:38:32Z
1/22/2026,Boys,9339,Gray-New Gloucester,Fryeburg Academy,B,South,South-B,South-B,15,11,5-11-0 (0.313),16,18,10.555555,28.88888833,win,Gray-New Gloucester,Fryeburg Academy,38,1,X,,,Gray-New Gloucester,Fryeburg Academy,65,43,2026-02-02T11:38:32Z
2/2/2026,Boys,9341,Fryeburg Academy,Wells,B,South,South-B,South-C,17,15,0-16-0 (0.000),16,18,1,0,normal,,,,,,,,Fryeburg Academy,Wells,,,2026-02-02T11:38:32Z
2/4/2026,Boys,9343,Yarmouth,Fryeburg Academy,B,South,South-B,South-B,18,3,13-3-0 (0.813),16,18,27.333333,101.9934606,normal,,,,,,,,Yarmouth,Fryeburg Academy,,,2026-02-02T11:38:32Z
12/5/2025,Girls,9345,Cape Elizabeth,Fryeburg Academy,B,South,South-B,South-B,1,14,7-9-0 (0.438),16,18,14.444444,27.83950444,win,Cape Elizabeth,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Cape Elizabeth,25,30,2026-02-02T11:38:32Z
12/8/2025,Girls,9347,Greely,Fryeburg Academy,B,South,South-B,South-B,2,4,12-4-0 (0.750),16,18,25.333333,91.85185,win,Greely,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Greely,22,45,2026-02-02T11:38:32Z
12/13/2025,Girls,9349,Mount Ararat,Fryeburg Academy,A,North,North-A,South-B,3,1,15-1-0 (0.938),16,18,33,121.7901211,win,Mount Ararat,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Mount Ararat,9,56,2026-02-02T11:38:32Z
12/16/2025,Girls,9351,Poland Regional,Fryeburg Academy,B,South,South-B,South-B,5,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Fryeburg Academy,38,1,X,,,Poland Regional,Fryeburg Academy,48,22,2026-02-02T11:38:32Z
12/18/2025,Girls,9353,York,Fryeburg Academy,B,South,South-B,South-B,5,3,10-6-0 (0.625),16,18,21,94.69135556,win,York,Fryeburg Academy,38,1,X,,,York,Fryeburg Academy,61,28,2026-02-02T11:38:32Z
12/20/2025,Girls,9355,Freeport,Fryeburg Academy,B,South,South-B,South-B,6,7,8-8-0 (0.500),16,18,17,50.12345556,win,Freeport,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Freeport,30,38,2026-02-02T11:38:32Z
1/2/2026,Girls,9357,Gray-New Gloucester,Fryeburg Academy,B,South,South-B,South-B,8,2,15-1-0 (0.938),16,18,31.888888,132.9012317,win,Gray-New Gloucester,Fryeburg Academy,38,1,X,,,Gray-New Gloucester,Fryeburg Academy,72,18,2026-02-02T11:38:32Z
1/6/2026,Girls,9359,Lake Region,Fryeburg Academy,B,South,South-B,South-B,8,11,6-10-0 (0.375),16,18,12.444444,40.55555444,win,Lake Region,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Lake Region,36,41,2026-02-02T11:38:32Z
1/9/2026,Girls,9361,Yarmouth,Fryeburg Academy,B,South,South-B,South-B,10,8,8-8-0 (0.500),16,18,16.777777,47.77777611,win,Yarmouth,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Yarmouth,26,46,2026-02-02T11:38:32Z
1/16/2026,Girls,9363,Greely,Fryeburg Academy,B,South,South-B,South-B,12,4,12-4-0 (0.750),16,18,25.333333,91.85185,win,Greely,Fryeburg Academy,38,1,X,,,Greely,Fryeburg Academy,31,16,2026-02-02T11:38:32Z
1/20/2026,Girls,9365,Poland Regional,Fryeburg Academy,B,South,South-B,South-B,13,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Poland Regional,36,50,2026-02-02T11:38:32Z
1/23/2026,Girls,9367,York,Fryeburg Academy,B,South,South-B,South-B,14,3,10-6-0 (0.625),16,18,21,94.69135556,win,York,Fryeburg Academy,38,1,X,,,Fryeburg Academy,York,18,43,2026-02-02T11:38:32Z
1/27/2026,Girls,9369,Freeport,Fryeburg Academy,B,South,South-B,South-B,15,7,8-8-0 (0.500),16,18,17,50.12345556,win,Freeport,Fryeburg Academy,38,1,X,,,Freeport,Fryeburg Academy,44,31,2026-02-02T11:38:32Z
1/29/2026,Girls,9371,Lake Region,Fryeburg Academy,B,South,South-B,South-B,16,11,6-10-0 (0.375),16,18,12.444444,40.55555444,win,Lake Region,Fryeburg Academy,38,1,X,,,Lake Region,Fryeburg Academy,46,37,2026-02-02T11:38:32Z
1/22/2026,Girls,9373,Gray-New Gloucester,Fryeburg Academy,B,South,South-B,South-B,15,2,15-1-0 (0.938),16,18,31.888888,132.9012317,win,Gray-New Gloucester,Fryeburg Academy,38,1,X,,,Fryeburg Academy,Gray-New Gloucester,26,73,2026-02-02T11:38:32Z
2/2/2026,Girls,9375,Fryeburg Academy,Wells,B,South,South-B,South-C,17,15,0-16-0 (0.000),16,18,1,0,normal,,,,,,,,Fryeburg Academy,Wells,,,2026-02-02T11:38:32Z
2/4/2026,Girls,9377,Yarmouth,Fryeburg Academy,B,South,South-B,South-B,18,8,8-8-0 (0.500),16,18,16.777777,47.77777611,normal,,,,,,,,Yarmouth,Fryeburg Academy,,,2026-02-02T11:38:32Z
12/5/2025,Boys,9521,Yarmouth,Poland Regional,B,South,South-B,South-B,1,3,13-3-0 (0.813),16,18,27.333333,101.9934606,win,Yarmouth,Poland Regional,38,22.888888,X,,,Yarmouth,Poland Regional,60,42,2026-02-02T11:38:32Z
12/9/2025,Boys,9523,Poland Regional,Leavitt Area,B,South,South-B,South-B,2,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Leavitt Area,38,23,X,,,Poland Regional,Leavitt Area,79,74,2026-02-02T11:38:32Z
12/11/2025,Boys,9525,Lake Region,Poland Regional,B,South,South-B,South-B,2,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Poland Regional,38,22.888888,X,,,Poland Regional,Lake Region,54,65,2026-02-02T11:38:32Z
12/13/2025,Boys,9527,Poland Regional,Greely,B,South,South-B,South-B,4,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Greely,38,10.555555,X,,,Poland Regional,Greely,47,44,2026-02-02T11:38:32Z
12/18/2025,Boys,9531,Poland Regional,Waynflete,B,South,South-B,South-C,6,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Waynflete,36,16.588235,X,,,Waynflete,Poland Regional,51,84,2026-02-02T11:38:32Z
1/2/2026,Boys,9537,Leavitt Area,Poland Regional,B,South,South-B,South-B,8,4,11-5-0 (0.688),16,18,23,91.85184889,win,Leavitt Area,Poland Regional,38,22.888888,X,,,Leavitt Area,Poland Regional,78,75,2026-02-02T11:38:32Z
1/7/2026,Boys,9539,Gardiner Area,Poland Regional,B,North,North-B,South-B,9,3,14-2-0 (0.875),16,18,29.555555,132.7160456,win,Gardiner Area,Poland Regional,38,22.888888,X,,,Poland Regional,Gardiner Area,67,75,2026-02-02T11:38:32Z
1/10/2026,Boys,9541,Lake Region,Poland Regional,B,South,South-B,South-B,10,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Poland Regional,38,22.888888,X,,,Lake Region,Poland Regional,62,50,2026-02-02T11:38:32Z
1/14/2026,Boys,9543,Poland Regional,Freeport,B,South,South-B,South-B,11,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Freeport,38,8.444444,X,,,Freeport,Poland Regional,50,72,2026-02-02T11:38:32Z
1/17/2026,Boys,9545,Poland Regional,Gray-New Gloucester,B,South,South-B,South-B,12,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Gray-New Gloucester,38,10.555555,X,,,Poland Regional,Gray-New Gloucester,73,45,2026-02-02T11:38:32Z
1/20/2026,Boys,9547,Poland Regional,Fryeburg Academy,B,South,South-B,South-B,13,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Fryeburg Academy,38,1,X,,,Poland Regional,Fryeburg Academy,83,45,2026-02-02T11:38:32Z
1/24/2026,Boys,9549,Poland Regional,Traip Academy,B,South,South-B,South-C,14,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Traip Academy,36,9.666666,X,,,Traip Academy,Poland Regional,34,73,2026-02-02T11:38:32Z
1/27/2026,Boys,9551,Poland Regional,Wells,B,South,South-B,South-C,15,6,11-6-0 (0.647),17,18,22.888888,68.35148667,win,Poland Regional,Wells,36,13.555555,X,,,Poland Regional,Wells,67,56,2026-02-02T11:38:32Z
1/31/2026,Boys,9553,York,Poland Regional,B,South,South-B,South-B,16,1,15-1-0 (0.938),16,18,31.888888,119.7530828,win,York,Poland Regional,38,22.888888,X,,,York,Poland Regional,72,57,2026-02-02T11:38:32Z
2/4/2026,Boys,9555,Poland Regional,Freeport,B,South,South-B,South-B,18,6,11-6-0 (0.647),17,18,22.888888,68.35148667,normal,,,,,,,,Poland Regional,Freeport,,,2026-02-02T11:38:32Z
12/5/2025,Girls,9632,Poland Regional,Yarmouth,B,South,South-B,South-B,1,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Yarmouth,38,16.777777,X,,,Poland Regional,Yarmouth,32,17,2026-02-02T11:38:32Z
12/9/2025,Girls,9634,Leavitt Area,Poland Regional,B,South,South-B,South-B,2,9,7-9-0 (0.438),16,18,14.777777,45.925925,win,Leavitt Area,Poland Regional,38,23,X,,,Leavitt Area,Poland Regional,41,37,2026-02-02T11:38:32Z
12/11/2025,Girls,9636,Poland Regional,Lake Region,B,South,South-B,South-B,3,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Lake Region,38,12.444444,X,,,Poland Regional,Lake Region,50,44,2026-02-02T11:38:32Z
12/13/2025,Girls,9638,Greely,Poland Regional,B,South,South-B,South-B,3,4,12-4-0 (0.750),16,18,25.333333,91.85185,win,Greely,Poland Regional,38,23,X,,,Greely,Poland Regional,35,33,2026-02-02T11:38:32Z
12/18/2025,Girls,9640,Poland Regional,Waynflete,B,South,South-B,South-C,6,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Waynflete,36,5.666666,X,,,Poland Regional,Waynflete,56,25,2026-02-02T11:38:32Z
1/7/2026,Girls,9644,Gardiner Area,Poland Regional,B,North,North-B,South-B,9,1,15-1-0 (0.938),16,18,31.777777,135.8024661,win,Gardiner Area,Poland Regional,38,23,X,,,Gardiner Area,Poland Regional,59,37,2026-02-02T11:38:32Z
1/10/2026,Girls,9646,Poland Regional,Lake Region,B,South,South-B,South-B,9,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Lake Region,38,12.444444,X,,,Lake Region,Poland Regional,31,47,2026-02-02T11:38:32Z
1/13/2026,Girls,9648,Poland Regional,Leavitt Area,B,South,South-B,South-B,10,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Leavitt Area,38,14.777777,X,,,Poland Regional,Leavitt Area,63,29,2026-02-02T11:38:32Z
1/15/2026,Girls,9650,Poland Regional,Freeport,B,South,South-B,South-B,11,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Freeport,38,17,X,,,Poland Regional,Freeport,41,38,2026-02-02T11:38:32Z
1/17/2026,Girls,9652,Gray-New Gloucester,Poland Regional,B,South,South-B,South-B,13,2,15-1-0 (0.938),16,18,31.888888,132.9012317,win,Gray-New Gloucester,Poland Regional,38,23,X,,,Gray-New Gloucester,Poland Regional,66,36,2026-02-02T11:38:32Z
1/24/2026,Girls,9654,Poland Regional,Traip Academy,B,South,South-B,South-C,14,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Traip Academy,36,11.777777,X,,,Poland Regional,Traip Academy,68,17,2026-02-02T11:38:32Z
1/27/2026,Girls,9656,Wells,Poland Regional,C,South,South-C,South-B,15,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Poland Regional,38,23,X,,,Wells,Poland Regional,53,47,2026-02-02T11:38:32Z
1/29/2026,Girls,9658,Poland Regional,Cape Elizabeth,B,South,South-B,South-B,16,5,11-6-0 (0.647),17,18,23,67.65431833,win,Poland Regional,Cape Elizabeth,38,14.444444,X,,,Poland Regional,Cape Elizabeth,36,31,2026-02-02T11:38:32Z
1/31/2026,Girls,9660,York,Poland Regional,B,South,South-B,South-B,16,3,10-6-0 (0.625),16,18,21,94.69135556,win,York,Poland Regional,38,23,X,,,Poland Regional,York,50,57,2026-02-02T11:38:32Z
2/4/2026,Girls,9662,Poland Regional,Freeport,B,South,South-B,South-B,18,5,11-6-0 (0.647),17,18,23,67.65431833,normal,,,,,,,,Poland Regional,Freeport,,,2026-02-02T11:38:32Z
12/5/2025,Boys,9681,Wells,North Yarmouth Academy,C,South,South-C,South-D,1,10,7-9-0 (0.438),16,18,13.555555,38.84531389,win,Wells,North Yarmouth Academy,34,7.444444,X,,,Wells,North Yarmouth Academy,64,31,2026-02-02T11:38:32Z
12/16/2025,Boys,9683,Lake Region,Wells,B,South,South-B,South-C,3,5,13-3-0 (0.813),16,18,27.222222,91.66666333,win,Lake Region,Wells,36,13.555555,X,,,Wells,Lake Region,40,46,2026-02-02T11:38:32Z
12/22/2025,Boys,9685,York,Wells,B,South,South-B,South-C,7,1,15-1-0 (0.938),16,18,31.888888,119.7530828,win,York,Wells,36,13.555555,X,,,Wells,York,41,72,2026-02-02T11:38:32Z
1/6/2026,Boys,9687,Traip Academy,Wells,C,South,South-C,South-C,8,12,5-11-0 (0.313),16,18,9.666666,31.37617889,win,Traip Academy,Wells,36,13.555555,X,,,Wells,Traip Academy,40,47,2026-02-02T11:38:32Z
1/9/2026,Boys,9689,Spruce Mountain,Wells,C,South,South-C,South-C,9,2,14-2-0 (0.875),16,18,27.666666,123.3950578,win,Spruce Mountain,Wells,36,13.555555,X,,,Wells,Spruce Mountain,49,66,2026-02-02T11:38:32Z
1/17/2026,Boys,9691,Cape Elizabeth,Wells,B,South,South-B,South-C,12,8,7-9-0 (0.438),16,18,14.333333,39.83296889,win,Cape Elizabeth,Wells,36,13.555555,X,,,Wells,Cape Elizabeth,58,65,2026-02-02T11:38:32Z
1/23/2026,Boys,9693,Wells,Waynflete,C,South,South-C,South-C,14,10,7-9-0 (0.438),16,18,13.555555,38.84531389,win,Wells,Waynflete,36,16.588235,X,,,Wells,Waynflete,58,42,2026-02-02T11:38:32Z
1/30/2026,Boys,9695,Wells,Old Orchard Beach,C,South,South-C,South-D,16,10,7-9-0 (0.438),16,18,13.555555,38.84531389,win,Wells,Old Orchard Beach,34,11.444444,X,,,Wells,Old Orchard Beach,62,30,2026-02-02T11:38:32Z
2/4/2026,Boys,9697,Sacopee Valley,Wells,C,South,South-C,South-C,18,5,11-5-0 (0.688),16,18,21.444444,61.72839278,normal,,,,,,,,Sacopee Valley,Wells,,,2026-02-02T11:38:32Z
12/9/2025,Girls,9699,Wells,Traip Academy,C,South,South-C,South-C,2,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Traip Academy,36,11.777777,X,,,Wells,Traip Academy,49,22,2026-02-02T11:38:32Z
12/12/2025,Girls,9701,Wells,Hall-Dale HS,C,South,South-C,South-C,3,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Hall-Dale HS,36,7.777777,X,,,Wells,Hall-Dale HS,56,27,2026-02-02T11:38:32Z
1/2/2026,Girls,9703,Wells,Winthrop,C,South,South-C,South-C,7,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Winthrop,36,15.666666,X,,,Wells,Winthrop,64,20,2026-02-02T11:38:32Z
1/13/2026,Girls,9708,Wells,Sacopee Valley,C,South,South-C,South-C,10,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Sacopee Valley,36,7.777777,X,,,Wells,Sacopee Valley,64,21,2026-02-02T11:38:32Z
1/15/2026,Girls,9712,Wells,Old Orchard Beach,C,South,South-C,South-D,11,3,14-2-0 (0.875),16,18,27.777777,106.35802,win,Wells,Old Orchard Beach,34,19.444444,X,,,Wells,Old Orchard Beach,53,28,2026-02-02T11:38:32Z
